NAME;UB
br17.10.sop;8
br17.12.sop;8
ESC07.sop;1000
ESC11.sop;419
ESC12.sop;222
ESC25.sop;181
ESC47.sop;106
ESC63.sop;1
ESC78.sop;500
ft53.1.sop;977
ft53.2.sop;977
ft53.3.sop;977
ft53.4.sop;978
ft70.1.sop;1398
ft70.2.sop;1403
ft70.3.sop;1403
ft70.4.sop;1532
kro124p.1.sop;980
kro124p.2.sop;1019
kro124p.3.sop;1071
kro124p.4.sop;1508
p43.1.sop;25040
p43.2.sop;25070
p43.3.sop;25040
p43.4.sop;25070
prob.100.sop;69
prob42.sop;14
rbg048a.sop;24
rbg050c.sop;23
rbg109a.sop;27
rbg150a.sop;28
rbg174a.sop;28
rbg253a.sop;28
rbg323a.sop;27
rbg341a.sop;33
rbg358a.sop;27
rbg378a.sop;23
ry48p.1.sop;719
ry48p.2.sop;588
ry48p.3.sop;658
ry48p.4.sop;1235
